"","PLACEFIPS","AntiTrumpProtestPreGFCount"
"1","",24
"2","0100820",2
"3","0101708",2
"4","0101852",4
"5","0102116",1
"6","0102956",1
"7","0103076",7
"8","0107000",43
"9","0112016",1
"10","0114104",1
"11","0119648",1
"12","0120104",3
"13","0120296",1
"14","0121184",6
"15","0125240",2
"16","0126896",11
"17","0128696",4
"18","0129056",1
"19","0131024",1
"20","0133472",1
"21","0135896",4
"22","0137000",31
"23","0138416",2
"24","0143120",1
"25","0144608",1
"26","0148064",3
"27","0148400",1
"28","0150000",24
"29","0150192",1
"30","0150312",3
"31","0151000",33
"32","0157000",2
"33","0157048",1
"34","0157576",1
"35","0158848",1
"36","0168160",1
"37","0169120",4
"38","0171976",1
"39","0173848",1
"40","0176944",1
"41","0177256",13
"42","0180928",1
"43","0200065",1
"44","0203000",64
"45","0204210",1
"46","0206520",3
"47","0217410",5
"48","0218950",3
"49","0224230",27
"50","0230940",2
"51","0231050",4
"52","0233140",16
"53","0236400",35
"54","0238420",2
"55","0238970",7
"56","0240950",4
"57","0241830",1
"58","0254920",4
"59","0258660",5
"60","0260310",2
"61","0268340",1
"62","0268560",3
"63","0270540",8
"64","0270760",2
"65","0271640",9
"66","0274830",1
"67","0277800",1
"68","0280660",1
"69","0280770",3
"70","0281920",3
"71","0282200",5
"72","0283080",3
"73","0285610",1
"74","0286380",2
"75","0400870",7
"76","0402430",1
"77","0404720",2
"78","0405770",3
"79","0406260",7
"80","0407940",1
"81","0409340",1
"82","0410530",2
"83","0411300",1
"84","0412000",10
"85","0414380",1
"86","0415500",1
"87","0416410",2
"88","0420050",174
"89","0422220",1
"90","0422360",3
"91","0423620",36
"92","0423760",2
"93","0425300",1
"94","0427400",7
"95","0427820",17
"96","0428140",2
"97","0428380",1
"98","0429710",3
"99","0436290",1
"100","0436430",1
"101","0437620",6
"102","0439370",3
"103","0444410",1
"104","0446000",17
"105","0447400",1
"106","0449640",4
"107","0451600",1
"108","0453700",10
"109","0454050",4
"110","0455000",147
"111","0455845",1
"112","0455980",1
"113","0457380",20
"114","0457450",1
"115","0462000",1
"116","0462140",3
"117","0463470",2
"118","0465000",14
"119","0465350",13
"120","0466470",6
"121","0466820",6
"122","0466845",1
"123","0471510",2
"124","0473000",19
"125","0473420",1
"126","0474190",2
"127","0475940",1
"128","0477000",90
"129","0483720",1
"130","0483930",1
"131","0485330",1
"132","0485540",16
"133","0501870",1
"134","0504600",1
"135","0505320",5
"136","0509790",1
"137","0510300",1
"138","0512820",1
"139","0513450",1
"140","0515190",9
"141","0518490",1
"142","0522240",5
"143","0523290",21
"144","0524550",9
"145","0528510",1
"146","0531190",1
"147","0533400",3
"148","0535710",9
"149","0541000",42
"150","0541720",1
"151","0544600",1
"152","0547390",2
"153","0550450",3
"154","0554200",1
"155","0560410",4
"156","0561670",1
"157","0564370",1
"158","0566080",10
"159","0568810",2
"160","0571480",2
"161","0575170",2
"162","0600296",6
"163","0600394",3
"164","0600562",20
"165","0600618",1
"166","0600674",6
"167","0600884",2
"168","0600947",3
"169","0601290",2
"170","0601640",1
"171","0602000",13
"172","0602042",1
"173","0602112",3
"174","0602210",1
"175","0602252",3
"176","0602364",3
"177","0602378",3
"178","0602462",1
"179","0602476",13
"180","0602868",5
"181","0603064",2
"182","0603092",2
"183","0603162",1
"184","0603204",5
"185","0603274",9
"186","0603316",1
"187","0603386",2
"188","0603512",1
"189","0603526",39
"190","0603666",1
"191","0604030",4
"192","0604758",2
"193","0605108",1
"194","0605164",1
"195","0605290",4
"196","0606000",72
"197","0606308",7
"198","0606406",1
"199","0606798",9
"200","0607498",1
"201","0607512",3
"202","0607596",1
"203","0607652",1
"204","0608100",12
"205","0608142",3
"206","0608786",1
"207","0608954",15
"208","0609066",3
"209","0609150",1
"210","0609598",4
"211","0609710",3
"212","0609892",2
"213","0610046",6
"214","0610074",7
"215","0610345",2
"216","0611040",1
"217","0611194",7
"218","0611250",3
"219","0611324",3
"220","0611390",1
"221","0611446",5
"222","0611530",2
"223","0611796",2
"224","0611964",6
"225","0612048",1
"226","0612524",2
"227","0612930",1
"228","0613014",25
"229","0613210",1
"230","0613214",2
"231","0613294",1
"232","0613392",15
"233","0613756",11
"234","0614190",2
"235","0614218",8
"236","0614260",3
"237","0614302",1
"238","0614946",2
"239","0615044",3
"240","0616000",12
"241","0616350",7
"242","0616378",2
"243","0616462",1
"244","0616532",5
"245","0616560",1
"246","0616644",1
"247","0616742",3
"248","0617022",6
"249","0617568",5
"250","0617610",6
"251","0617750",2
"252","0617918",2
"253","0617946",1
"254","0617988",4
"255","0618100",21
"256","0618394",2
"257","0618464",1
"258","0618506",4
"259","0618996",1
"260","0619192",3
"261","0619766",3
"262","0619990",4
"263","0620018",5
"264","0620956",1
"265","0621230",1
"266","0621712",11
"267","0621782",2
"268","0621796",11
"269","0621880",2
"270","0622020",7
"271","0622230",1
"272","0622300",3
"273","0622594",6
"274","0622678",15
"275","0622804",15
"276","0623042",15
"277","0623168",3
"278","0623182",5
"279","0623294",2
"280","0623616",1
"281","0623826",1
"282","0624092",1
"283","0624638",2
"284","0624680",5
"285","0625058",13
"286","0625296",1
"287","0625338",2
"288","0625436",2
"289","0626000",13
"290","0627000",50
"291","0628000",15
"292","0628112",1
"293","0628154",1
"294","0628168",4
"295","0629000",5
"296","0629154",1
"297","0629504",2
"298","0630000",5
"299","0630014",2
"300","0630378",1
"301","0630658",1
"302","0630693",2
"303","0630798",11
"304","0630994",2
"305","0631393",1
"306","0631470",1
"307","0631540",1
"308","0631568",1
"309","0631708",3
"310","0631960",8
"311","0632548",2
"312","0633000",5
"313","0633056",7
"314","0633182",7
"315","0633434",3
"316","0633588",1
"317","0634120",6
"318","0634652",1
"319","0636000",24
"320","0636056",3
"321","0636203",9
"322","0636294",2
"323","0636448",3
"324","0636490",1
"325","0636546",1
"326","0636616",2
"327","0636770",27
"328","0636868",1
"329","0637274",1
"330","0637554",5
"331","0637624",1
"332","0638114",2
"333","0638226",1
"334","0638520",1
"335","0638548",2
"336","0638646",1
"337","0639003",5
"338","0639045",2
"339","0639122",3
"340","0639178",18
"341","0639220",6
"342","0639248",3
"343","0639318",1
"344","0639425",1
"345","0639444",1
"346","0639486",3
"347","0639496",5
"348","0639570",1
"349","0639710",11
"350","0639766",3
"351","0639892",2
"352","0640004",4
"353","0640032",3
"354","0640130",5
"355","0640256",1
"356","0640340",2
"357","0640354",2
"358","0640438",3
"359","0640830",1
"360","0640886",3
"361","0640928",2
"362","0640998",1
"363","0641474",1
"364","0641782",1
"365","0641992",10
"366","0642006",1
"367","0642202",1
"368","0642370",1
"369","0642524",6
"370","0643000",34
"371","0643140",1
"372","0643224",5
"373","0643280",7
"374","0644000",475
"375","0644112",6
"376","0644350",1
"377","0644574",1
"378","0644910",1
"379","0645246",6
"380","0645358",1
"381","0645400",7
"382","0645484",3
"383","0645778",1
"384","0645932",1
"385","0646114",1
"386","0646170",6
"387","0646492",1
"388","0646618",1
"389","0646632",1
"390","0646814",2
"391","0646842",2
"392","0646870",6
"393","0646898",10
"394","0647332",1
"395","0647430",1
"396","0647710",12
"397","0647766",2
"398","0647822",4
"399","0648256",5
"400","0648354",25
"401","0648648",1
"402","0648816",3
"403","0648872",23
"404","0648914",3
"405","0649138",3
"406","0649270",6
"407","0649278",11
"408","0649362",3
"409","0649670",19
"410","0649852",3
"411","0650076",5
"412","0650258",21
"413","0650398",2
"414","0650874",7
"415","0650916",1
"416","0651140",1
"417","0651182",5
"418","0651476",1
"419","0651868",1
"420","0652582",8
"421","0652624",1
"422","0652694",2
"423","0652764",4
"424","0653000",80
"425","0653070",3
"426","0653116",1
"427","0653322",14
"428","0653476",11
"429","0653896",4
"430","0653980",14
"431","0654232",2
"432","0654386",3
"433","0654652",10
"434","0654806",9
"435","0655048",1
"436","0655156",11
"437","0655184",5
"438","0655254",19
"439","0655282",44
"440","0655520",1
"441","0655618",1
"442","0656000",32
"443","0656112",1
"444","0656700",2
"445","0656756",1
"446","0656784",16
"447","0656924",3
"448","0656938",5
"449","0657414",1
"450","0657456",4
"451","0657526",1
"452","0657540",5
"453","0657764",2
"454","0657792",9
"455","0657876",2
"456","0657960",2
"457","0658030",2
"458","0658072",4
"459","0658240",5
"460","0658380",2
"461","0658520",5
"462","0659080",8
"463","0659346",4
"464","0659451",10
"465","0659500",1
"466","0659514",4
"467","0659584",2
"468","0659587",5
"469","0659920",22
"470","0659962",10
"471","0660018",12
"472","0660102",14
"473","0660466",1
"474","0660620",15
"475","0660704",8
"476","0660942",1
"477","0661026",1
"478","0661068",1
"479","0662000",30
"480","0662364",4
"481","0662490",1
"482","0662546",4
"483","0662602",3
"484","0662938",16
"485","0662980",2
"486","0664000",127
"487","0664140",2
"488","0664210",1
"489","0664224",13
"490","0664434",5
"491","0665000",22
"492","0665042",29
"493","0665070",1
"494","0665084",5
"495","0666000",202
"496","0666070",1
"497","0666140",1
"498","0667000",243
"499","0667042",3
"500","0667112",2
"501","0668000",81
"502","0668028",2
"503","0668084",6
"504","0668112",1
"505","0668154",36
"506","0668196",11
"507","0668252",18
"508","0668364",24
"509","0668378",8
"510","0669000",23
"511","0669070",40
"512","0669084",5
"513","0669088",30
"514","0669112",42
"515","0669154",1
"516","0669196",17
"517","0670000",24
"518","0670042",1
"519","0670098",40
"520","0670224",2
"521","0670280",5
"522","0670364",2
"523","0670686",1
"524","0670712",5
"525","0670728",1
"526","0670742",6
"527","0670770",8
"528","0670882",1
"529","0671554",2
"530","0671806",8
"531","0671876",1
"532","0672016",5
"533","0672576",3
"534","0672646",18
"535","0672674",13
"536","0672688",1
"537","0672996",2
"538","0673080",1
"539","0673108",4
"540","0673220",8
"541","0673696",2
"542","0673906",2
"543","0674130",1
"544","0675000",25
"545","0676015",3
"546","0677000",5
"547","0677364",1
"548","0677392",3
"549","0678092",2
"550","0678120",17
"551","0678148",1
"552","0678582",13
"553","0678960",1
"554","0680000",17
"555","0680238",7
"556","0680588",13
"557","0680644",2
"558","0680812",6
"559","0680854",5
"560","0681134",20
"561","0681204",1
"562","0681344",2
"563","0681358",1
"564","0681554",3
"565","0681666",13
"566","0682422",1
"567","0682590",11
"568","0682954",15
"569","0682996",74
"570","0683332",2
"571","0683346",22
"572","0683612",1
"573","0683668",17
"574","0683794",2
"575","0683850",2
"576","0684200",2
"577","0684410",4
"578","0684438",7
"579","0684550",3
"580","0684592",1
"581","0684732",1
"582","0684928",2
"583","0685292",6
"584","0685446",1
"585","0685586",1
"586","0685600",4
"587","0686034",2
"588","0686328",7
"589","0686804",1
"590","0686832",3
"591","0686912",2
"592","0687042",3
"593","0687056",6
"594","0800870",1
"595","0801090",6
"596","0803455",5
"597","0803620",15
"598","0803730",1
"599","0804000",33
"600","0804110",3
"601","0804935",3
"602","0806255",2
"603","0807850",63
"604","0808400",3
"605","0808675",2
"606","0808950",1
"607","0809280",9
"608","0809555",1
"609","0811810",4
"610","0812045",4
"611","0812415",6
"612","0812635",1
"613","0812815",2
"614","0814765",1
"615","0816000",70
"616","0816110",1
"617","0816495",1
"618","0817375",13
"619","0818310",5
"620","0818420",1
"621","0820000",171
"622","0822035",42
"623","0823300",5
"624","0824785",5
"625","0824950",2
"626","0825115",2
"627","0825390",4
"628","0827425",36
"629","0827810",2
"630","0827865",1
"631","0828305",2
"632","0828360",1
"633","0828690",1
"634","0830780",9
"635","0830835",5
"636","0831605",1
"637","0831660",23
"638","0832155",9
"639","0833035",3
"640","0833640",8
"641","0833695",3
"642","0836410",2
"643","0837545",1
"644","0838370",2
"645","0841835",8
"646","0842330",1
"647","0843000",4
"648","0845255",13
"649","0845955",3
"650","0845970",27
"651","0846355",3
"652","0846465",4
"653","0847070",1
"654","0848115",1
"655","0848445",2
"656","0848940",1
"657","0850920",1
"658","0851745",6
"659","0851800",1
"660","0853175",1
"661","0853395",1
"662","0853780",2
"663","0856860",2
"664","0857300",4
"665","0857630",3
"666","0858675",1
"667","0862000",25
"668","0864200",3
"669","0867280",8
"670","0870580",1
"671","0873825",13
"672","0874375",1
"673","0876795",6
"674","0878610",3
"675","0880040",5
"676","0883835",1
"677","0884770",1
"678","0885485",2
"679","0885705",2
"680","0886750",2
"681","0901150",1
"682","0904790",4
"683","0904945",2
"684","0904965",2
"685","0907345",3
"686","0908000",17
"687","0908140",2
"688","0908420",2
"689","0908770",3
"690","0908910",1
"691","0914200",3
"692","0914370",1
"693","0915840",1
"694","0918430",6
"695","0918780",2
"696","0918936",2
"697","0919200",1
"698","0920740",1
"699","0922420",1
"700","0922700",6
"701","0924520",1
"702","0926370",1
"703","0930470",6
"704","0931270",3
"705","0933690",16
"706","0934180",1
"707","0935020",8
"708","0937000",110
"709","0937770",3
"710","0937930",5
"711","0938050",4
"712","0940150",1
"713","0941830",9
"714","0943300",3
"715","0944630",4
"716","0944690",9
"717","0945995",1
"718","0946450",9
"719","0947290",7
"720","0947515",8
"721","0947990",16
"722","0949110",12
"723","0949810",2
"724","0949880",2
"725","0950370",5
"726","0950576",3
"727","0952000",78
"728","0952210",1
"729","0952280",14
"730","0952560",4
"731","0952770",1
"732","0952910",8
"733","0953120",1
"734","0953400",4
"735","0954940",2
"736","0955990",14
"737","0956200",5
"738","0956690",1
"739","0957390",2
"740","0957670",1
"741","0958520",2
"742","0959140",1
"743","0960090",1
"744","0960260",1
"745","0961870",1
"746","0963620",2
"747","0963900",7
"748","0966455",1
"749","0968100",2
"750","0969150",1
"751","0971530",6
"752","0973000",23
"753","0973700",2
"754","0973980",13
"755","0974303",3
"756","0975116",1
"757","0975200",1
"758","0976500",4
"759","0977278",1
"760","0978880",2
"761","0980000",8
"762","0980210",1
"763","0980770",9
"764","0982660",45
"765","0982800",3
"766","0983045",1
"767","0983360",1
"768","0983586",16
"769","0984970",4
"770","0985810",12
"771","0986380",1
"772","0987140",5
"773","0987350",1
"774","0987980",2
"775","1001660",1
"776","1005690",1
"777","1010760",2
"778","1015310",1
"779","1021200",10
"780","1029090",2
"781","1035850",2
"782","1041310",1
"783","1041830",13
"784","1047030",4
"785","1047420",1
"786","1048330",1
"787","1050670",18
"788","1050800",1
"789","1056490",1
"790","1060290",3
"791","1063800",1
"792","1064320",1
"793","1067310",1
"794","1077580",36
"795","1150000",492
"796","1200375",1
"797","1200950",2
"798","1201700",3
"799","1203975",2
"800","1206125",1
"801","1207300",18
"802","1207375",1
"803","1207525",1
"804","1207775",1
"805","1207875",4
"806","1207950",11
"807","1208150",3
"808","1209550",1
"809","1210250",4
"810","1210275",6
"811","1211285",1
"812","1212875",7
"813","1212925",3
"814","1213150",3
"815","1213175",2
"816","1213275",3
"817","1214125",2
"818","1214250",1
"819","1214400",5
"820","1215300",2
"821","1215575",1
"822","1215775",1
"823","1216125",3
"824","1216450",1
"825","1216475",5
"826","1216525",19
"827","1216675",1
"828","1216725",3
"829","1216875",4
"830","1217100",8
"831","1217200",1
"832","1217935",9
"833","1218575",2
"834","1218675",1
"835","1220375",1
"836","1220825",2
"837","1221150",1
"838","1221350",1
"839","1221425",1
"840","1222175",5
"841","1222387",1
"842","1222550",3
"843","1222660",2
"844","1224000",39
"845","1224125",29
"846","1224300",4
"847","1224475",4
"848","1224900",1
"849","1224925",3
"850","1225175",55
"851","1225900",1
"852","1226700",1
"853","1227400",1
"854","1228000",3
"855","1228175",3
"856","1228400",1
"857","1230000",3
"858","1232000",12
"859","1232275",13
"860","1232375",1
"861","1232825",1
"862","1233375",1
"863","1233700",1
"864","1233950",6
"865","1235000",70
"866","1235050",1
"867","1235550",2
"868","1235875",3
"869","1236300",2
"870","1236375",3
"871","1236550",14
"872","1236950",10
"873","1237775",1
"874","1238250",15
"875","1238625",1
"876","1238950",1
"877","1239067",2
"878","1239081",4
"879","1239200",6
"880","1239425",1
"881","1239550",1
"882","1239825",2
"883","1239875",2
"884","1241250",2
"885","1241825",2
"886","1242400",1
"887","1242575",1
"888","1243000",4
"889","1243083",1
"890","1243975",20
"891","1245000",96
"892","1245025",6
"893","1245060",2
"894","1245100",2
"895","1245225",1
"896","1245900",1
"897","1245975",6
"898","1246550",2
"899","1247050",2
"900","1247625",31
"901","1248050",1
"902","1248200",2
"903","1248500",6
"904","1248625",9
"905","1248875",1
"906","1249350",1
"907","1249406",28
"908","1249425",2
"909","1249450",1
"910","1249475",2
"911","1249600",1
"912","1249675",1
"913","1250750",13
"914","1251350",1
"915","1252125",2
"916","1253000",72
"917","1253150",3
"918","1253575",3
"919","1253875",1
"920","1254000",2
"921","1254025",19
"922","1254075",3
"923","1254175",2
"924","1254200",7
"925","1254250",1
"926","1254275",2
"927","1254350",4
"928","1254525",2
"929","1254700",14
"930","1254725",1
"931","1255125",12
"932","1255775",6
"933","1255925",32
"934","1256425",1
"935","1256825",1
"936","1256975",1
"937","1257425",4
"938","1257550",1
"939","1257900",1
"940","1258050",4
"941","1258420",1
"942","1258575",4
"943","1258600",1
"944","1258715",4
"945","1259200",8
"946","1259400",1
"947","1261500",2
"948","1262425",1
"949","1262500",17
"950","1262625",2
"951","1263000",41
"952","1263650",4
"953","1264175",47
"954","1264400",2
"955","1264825",3
"956","1264875",4
"957","1264975",2
"958","1266000",1
"959","1268100",1
"960","1268135",1
"961","1268350",7
"962","1268875",11
"963","1269250",2
"964","1269700",5
"965","1270600",81
"966","1270675",1
"967","1271000",75
"968","1271150",4
"969","1271225",7
"970","1271400",1
"971","1271564",3
"972","1271625",6
"973","1271900",2
"974","1273700",1
"975","1273900",3
"976","1274125",1
"977","1274150",6
"978","1274368",5
"979","1275625",1
"980","1275812",3
"981","1275875",2
"982","1276582",4
"983","1276600",44
"984","1278250",2
"985","1278275",1
"986","1278300",6
"987","1279175",1
"988","1300408",1
"989","1301052",2
"990","1301696",11
"991","1303440",35
"992","1304000",147
"993","1304204",14
"994","1304644",1
"995","1304896",1
"996","1307612",1
"997","1308844",2
"998","1308928",1
"999","1310944",2
"1000","1311560",11
"1001","1312400",2
"1002","1312988",3
"1003","1313492",3
"1004","1313688",3
"1005","1314024",1
"1006","1315172",3
"1007","1316460",1
"1008","1316544",2
"1009","1317776",1
"1010","1319000",7
"1011","1319336",1
"1012","1320064",2
"1013","1320932",5
"1014","1321240",4
"1015","1321324",4
"1016","1321380",2
"1017","1321940",1
"1018","1322052",15
"1019","1323900",2
"1020","1324600",2
"1021","1324768",4
"1022","1328044",2
"1023","1328968",4
"1024","1330424",1
"1025","1330536",2
"1026","1331096",1
"1027","1331908",9
"1028","1334596",1
"1029","1334876",1
"1030","1336696",1
"1031","1339076",1
"1032","1339524",1
"1033","1340056",2
"1034","1342425",3
"1035","1342604",1
"1036","1343192",7
"1037","1343640",2
"1038","1344312",1
"1039","1344340",2
"1040","1345488",9
"1041","1345768",1
"1042","1346188",1
"1043","1346356",2
"1044","1346552",1
"1045","1346860",1
"1046","1347140",1
"1047","1347980",2
"1048","1348288",2
"1049","1348624",2
"1050","1349008",10
"1051","1349196",5
"1052","1349756",13
"1053","1351670",4
"1054","1352192",2
"1055","1355020",7
"1056","1355776",4
"1057","1357260",1
"1058","1357428",1
"1059","1359724",1
"1060","1362524",1
"1061","1365044",1
"1062","1366276",1
"1063","1366668",1
"1064","1367284",4
"1065","1367452",1
"1066","1367984",1
"1067","1368516",1
"1068","1369000",22
"1069","1371492",4
"1070","1371604",1
"1071","1372780",2
"1072","1373256",12
"1073","1373816",1
"1074","1374180",1
"1075","1374936",4
"1076","1376224",6
"1077","1376280",1
"1078","1377652",1
"1079","1378044",1
"1080","1378800",10
"1081","1380508",1
"1082","1380788",2
"1083","1380956",2
"1084","1383420",3
"1085","1384176",3
"1086","1385128",1
"1087","1500550",1
"1088","1507450",1
"1089","1510750",1
"1090","1511350",3
"1091","1512530",1
"1092","1514650",16
"1093","1516450",2
"1094","1522700",14
"1095","1523000",13
"1096","1523150",6
"1097","1528250",2
"1098","1528850",2
"1099","1530300",1
"1100","1531100",2
"1101","1532900",1
"1102","1536500",1
"1103","1536650",3
"1104","1541600",4
"1105","1542950",2
"1106","1543700",1
"1107","1545200",9
"1108","1551050",1
"1109","1553600",4
"1110","1565150",1
"1111","1571550",46
"1112","1577450",3
"1113","1578500",10
"1114","1579250",1
"1115","1579700",1
"1116","1608830",61
"1117","1616750",10
"1118","1622690",3
"1119","1623410",1
"1120","1629620",2
"1121","1634390",3
"1122","1636370",2
"1123","1639610",1
"1124","1639700",21
"1125","1641320",1
"1126","1642580",1
"1127","1643030",7
"1128","1644290",1
"1129","1646540",5
"1130","1648790",3
"1131","1652120",3
"1132","1654550",13
"1133","1654730",2
"1134","1656260",1
"1135","1661300",1
"1136","1664090",16
"1137","1667420",5
"1138","1672100",12
"1139","1676780",2
"1140","1682810",8
"1141","1684250",1
"1142","1687670",1
"1143","1701114",2
"1144","1702154",10
"1145","1703012",13
"1146","1703844",5
"1147","1704013",1
"1148","1704845",5
"1149","1705092",2
"1150","1705261",1
"1151","1705573",2
"1152","1706613",14
"1153","1706704",1
"1154","1707133",2
"1155","1707744",1
"1156","1708186",1
"1157","1708420",1
"1158","1708576",1
"1159","1709447",5
"1160","1709642",1
"1161","1710240",1
"1162","1710906",1
"1163","1711163",20
"1164","1711332",2
"1165","1711514",2
"1166","1711618",1
"1167","1712385",18
"1168","1712567",7
"1169","1714000",269
"1170","1714351",1
